engine	case	quantity	status	value	note
oracle-corr	heptane@60.0C	rho_liq_mol_m3	ok	6.4787011554e+03	thermo.VolumeLiquid method=HEOS_FIT
oracle-corr	heptane@60.0C	dhvap_kj_mol	ok	3.4350825889e+01	thermo.EnthalpyVaporization method=HEOS_FIT
oracle-corr	heptane@98.4C	psat_kpa	ok	1.0132390773e+02	thermo.VaporPressure method=HEOS_FIT
oracle-corr	heptane@98.4C	rho_liq_mol_m3	ok	6.1230128677e+03	thermo.VolumeLiquid method=HEOS_FIT
oracle-corr	heptane@98.4C	dhvap_kj_mol	ok	3.1732648868e+01	thermo.EnthalpyVaporization method=HEOS_FIT
oracle-corr	heptane	tboil_c	ok	9.8400360483e+01	chemicals.Tb (experimental normal boiling point)
oracle-corr	heptane	tcrit_k	ok	5.4020000000e+02	chemicals.Tc (experimental)
oracle-corr	heptane	pcrit_kpa	ok	2.7357300000e+03	chemicals.Pc (experimental)
oracle-corr	octane@25.0C	psat_kpa	ok	1.8734533154e+00	thermo.VaporPressure method=HEOS_FIT
oracle-corr	octane@25.0C	rho_liq_mol_m3	ok	6.1155885430e+03	thermo.VolumeLiquid method=HEOS_FIT
oracle-corr	octane@25.0C	dhvap_kj_mol	ok	4.1512961324e+01	thermo.EnthalpyVaporization method=HEOS_FIT
oracle-corr	octane@80.0C	psat_kpa	ok	2.3349310139e+01	thermo.VaporPressure method=HEOS_FIT
oracle-corr	octane@80.0C	rho_liq_mol_m3	ok	5.7137708518e+03	thermo.VolumeLiquid method=HEOS_FIT
oracle-corr	octane@80.0C	dhvap_kj_mol	ok	3.7796829933e+01	thermo.EnthalpyVaporization method=HEOS_FIT
oracle-corr	octane@125.6C	psat_kpa	ok	1.0120195227e+02	thermo.VaporPressure method=HEOS_FIT
oracle-corr	octane@125.6C	rho_liq_mol_m3	ok	5.3510951514e+03	thermo.VolumeLiquid method=HEOS_FIT
oracle-corr	octane@125.6C	dhvap_kj_mol	ok	3.4441204781e+01	thermo.EnthalpyVaporization method=HEOS_FIT
oracle-corr	octane	tboil_c	ok	1.2564375514e+02	chemicals.Tb (experimental normal boiling point)
oracle-corr	octane	tcrit_k	ok	5.6874000000e+02	chemicals.Tc (experimental)
oracle-corr	octane	pcrit_kpa	ok	2.4835900000e+03	chemicals.Pc (experimental)
oracle-corr	cyclohexane@25.0C	psat_kpa	ok	1.3018857847e+01	thermo.VaporPressure method=HEOS_FIT
oracle-corr	cyclohexane@25.0C	rho_liq_mol_m3	ok	9.1964300847e+03	thermo.VolumeLiquid method=HEOS_FIT
oracle-corr	cyclohexane@25.0C	dhvap_kj_mol	ok	3.3033991829e+01	thermo.EnthalpyVaporization method=HEOS_FIT
oracle-corr	cyclohexane@50.0C	psat_kpa	ok	3.6267183581e+01	thermo.VaporPressure method=HEOS_FIT
oracle-corr	cyclohexane@50.0C	rho_liq_mol_m3	ok	8.9118818524e+03	thermo.VolumeLiquid method=HEOS_FIT
oracle-corr	cyclohexane@50.0C	dhvap_kj_mol	ok	3.1700094953e+01	thermo.EnthalpyVaporization method=HEOS_FIT
oracle-corr	cyclohexane@80.7C	psat_kpa	ok	1.0127948891e+02	thermo.VaporPressure method=HEOS_FIT
oracle-corr	cyclohexane@80.7C	rho_liq_mol_m3	ok	8.5490309295e+03	thermo.VolumeLiquid method=HEOS_FIT
oracle-corr	cyclohexane@80.7C	dhvap_kj_mol	ok	2.9992136995e+01	thermo.EnthalpyVaporization method=HEOS_FIT
oracle-corr	cyclohexane	tboil_c	ok	8.0714948368e+01	chemicals.Tb (experimental normal boiling point)
oracle-corr	cyclohexane	tcrit_k	ok	5.5360000000e+02	chemicals.Tc (experimental)
oracle-corr	cyclohexane	pcrit_kpa	ok	4.0805000000e+03	chemicals.Pc (experimental)
oracle-corr	toluene@25.0C	psat_kpa	ok	3.7992916086e+00	thermo.VaporPressure method=HEOS_FIT
oracle-corr	toluene@25.0C	rho_liq_mol_m3	ok	9.3580761491e+03	thermo.VolumeLiquid method=HEOS_FIT
oracle-corr	toluene@25.0C	dhvap_kj_mol	ok	3.8039539662e+01	thermo.EnthalpyVaporization method=HEOS_FIT
oracle-corr	toluene@60.0C	psat_kpa	ok	1.8540207066e+01	thermo.VaporPressure method=HEOS_FIT
oracle-corr	toluene@60.0C	rho_liq_mol_m3	ok	8.9998185124e+03	thermo.VolumeLiquid method=HEOS_FIT
oracle-corr	toluene@60.0C	dhvap_kj_mol	ok	3.6132548514e+01	thermo.EnthalpyVaporization method=HEOS_FIT
oracle-corr	toluene@110.6C	psat_kpa	ok	1.0133723101e+02	thermo.VaporPressure method=HEOS_FIT
oracle-corr	toluene@110.6C	rho_liq_mol_m3	ok	8.4562870905e+03	thermo.VolumeLiquid method=HEOS_FIT
oracle-corr	toluene@110.6C	dhvap_kj_mol	ok	3.3233895862e+01	thermo.EnthalpyVaporization method=HEOS_FIT
oracle-corr	toluene	tboil_c	ok	1.1059575315e+02	chemicals.Tb (experimental normal boiling point)
oracle-corr	toluene	tcrit_k	ok	5.9175000000e+02	chemicals.Tc (experimental)
oracle-corr	toluene	pcrit_kpa	ok	4.1263000000e+03	chemicals.Pc (experimental)
oracle-corr	carbon-dioxide@-50.0C	psat_kpa	ok	6.8234165435e+02	thermo.VaporPressure method=HEOS_FIT
oracle-corr	carbon-dioxide@-50.0C	rho_liq_mol_m3	ok	2.6234179260e+04	thermo.VolumeLiquid method=HEOS_FIT
oracle-corr	carbon-dioxide@-50.0C	dhvap_kj_mol	ok	1.4951573175e+01	thermo.EnthalpyVaporization method=HEOS_FIT
oracle-corr	carbon-dioxide@-25.0C	psat_kpa	ok	1.6827382236e+03	thermo.VaporPressure method=HEOS_FIT
oracle-corr	carbon-dioxide@-25.0C	rho_liq_mol_m3	ok	2.3953390755e+04	thermo.VolumeLiquid method=HEOS_FIT
oracle-corr	carbon-dioxide@-25.0C	dhvap_kj_mol	ok	1.2906422186e+01	thermo.EnthalpyVaporization method=HEOS_FIT
oracle-corr	carbon-dioxide@0.0C	psat_kpa	ok	3.4851406208e+03	thermo.VaporPressure method=HEOS_FIT
oracle-corr	carbon-dioxide@0.0C	rho_liq_mol_m3	ok	2.1073305237e+04	thermo.VolumeLiquid method=HEOS_FIT
oracle-corr	carbon-dioxide@0.0C	dhvap_kj_mol	ok	1.0161569721e+01	thermo.EnthalpyVaporization method=HEOS_FIT
oracle-corr	carbon-dioxide@25.0C	psat_kpa	ok	6.4342432595e+03	thermo.VaporPressure method=HEOS_FIT
oracle-corr	carbon-dioxide@25.0C	rho_liq_mol_m3	ok	1.8098174894e+04	thermo.VolumeLiquid method=HEOS_FIT
oracle-corr	carbon-dioxide@25.0C	dhvap_kj_mol	ok	5.2655436244e+00	thermo.EnthalpyVaporization method=HEOS_FIT
oracle-corr	carbon-dioxide	tboil_c	ok	-7.8480000000e+01	chemicals.Tb (experimental normal boiling point)
oracle-corr	carbon-dioxide	tcrit_k	ok	3.0412820000e+02	chemicals.Tc (experimental)
oracle-corr	carbon-dioxide	pcrit_kpa	ok	7.3773000000e+03	chemicals.Pc (experimental)
oracle-corr	nitrogen@-200.0C	psat_kpa	ok	5.9841800020e+01	thermo.VaporPressure method=HEOS_FIT
oracle-corr	nitrogen@-200.0C	rho_liq_mol_m3	ok	2.9448201372e+04	thermo.VolumeLiquid method=HEOS_FIT
oracle-corr	nitrogen@-200.0C	dhvap_kj_mol	ok	5.7258281371e+00	thermo.EnthalpyVaporization method=HEOS_FIT
oracle-corr	nitrogen@-195.8C	psat_kpa	ok	1.0126535769e+02	thermo.VaporPressure method=HEOS_FIT
oracle-corr	nitrogen@-195.8C	rho_liq_mol_m3	ok	2.8776007502e+04	thermo.VolumeLiquid method=HEOS_FIT
oracle-corr	nitrogen@-195.8C	dhvap_kj_mol	ok	5.5797948108e+00	thermo.EnthalpyVaporization method=HEOS_FIT
oracle-corr	nitrogen@-190.0C	psat_kpa	ok	1.9067092826e+02	thermo.VaporPressure method=HEOS_FIT
oracle-corr	nitrogen@-190.0C	rho_liq_mol_m3	ok	2.7810904156e+04	thermo.VolumeLiquid method=HEOS_FIT
oracle-corr	nitrogen@-190.0C	dhvap_kj_mol	ok	5.3576439604e+00	thermo.EnthalpyVaporization method=HEOS_FIT
oracle-corr	nitrogen	tboil_c	ok	-1.9579500498e+02	chemicals.Tb (experimental normal boiling point)
oracle-corr	nitrogen	tcrit_k	ok	1.2619200000e+02	chemicals.Tc (experimental)
oracle-corr	nitrogen	pcrit_kpa	ok	3.3958000000e+03	chemicals.Pc (experimental)
oracle-corr	oxygen@-200.0C	psat_kpa	ok	1.0808283809e+01	thermo.VaporPressure method=HEOS_FIT
oracle-corr	oxygen@-200.0C	rho_liq_mol_m3	ok	3.8207848183e+04	thermo.VolumeLiquid method=HEOS_FIT
oracle-corr	oxygen@-200.0C	dhvap_kj_mol	ok	7.2950958332e+00	thermo.EnthalpyVaporization method=HEOS_FIT
oracle-corr	oxygen@-183.0C	psat_kpa	ok	1.0092505442e+02	thermo.VaporPressure method=HEOS_FIT
oracle-corr	oxygen@-183.0C	rho_liq_mol_m3	ok	3.5669227534e+04	thermo.VolumeLiquid method=HEOS_FIT
oracle-corr	oxygen@-183.0C	dhvap_kj_mol	ok	6.8187139540e+00	thermo.EnthalpyVaporization method=HEOS_FIT
oracle-corr	oxygen@-175.0C	psat_kpa	ok	2.1679632724e+02	thermo.VaporPressure method=HEOS_FIT
oracle-corr	oxygen@-175.0C	rho_liq_mol_m3	ok	3.4396146660e+04	thermo.VolumeLiquid method=HEOS_FIT
oracle-corr	oxygen@-175.0C	dhvap_kj_mol	ok	6.5508635146e+00	thermo.EnthalpyVaporization method=HEOS_FIT
oracle-corr	oxygen	tboil_c	ok	-1.8296219212e+02	chemicals.Tb (experimental normal boiling point)
oracle-corr	oxygen	tcrit_k	ok	1.5458100000e+02	chemicals.Tc (experimental)
oracle-corr	oxygen	pcrit_kpa	ok	5.0430000000e+03	chemicals.Pc (experimental)
oracle-corr	ammonia@-50.0C	psat_kpa	ok	4.0776012936e+01	thermo.VaporPressure method=HEOS_FIT
oracle-corr	ammonia@-50.0C	rho_liq_mol_m3	ok	4.1206491216e+04	thermo.VolumeLiquid method=HEOS_FIT
oracle-corr	ammonia@-50.0C	dhvap_kj_mol	ok	2.4136954909e+01	thermo.EnthalpyVaporization method=HEOS_FIT
oracle-corr	ammonia@-33.3C	psat_kpa	ok	1.0140482954e+02	thermo.VaporPressure method=HEOS_FIT
oracle-corr	ammonia@-33.3C	rho_liq_mol_m3	ok	4.0023303708e+04	thermo.VolumeLiquid method=HEOS_FIT
oracle-corr	ammonia@-33.3C	dhvap_kj_mol	ok	2.3325374887e+01	thermo.EnthalpyVaporization method=HEOS_FIT
oracle-corr	ammonia@0.0C	psat_kpa	ok	4.2924781150e+02	thermo.VaporPressure method=HEOS_FIT
oracle-corr	ammonia@0.0C	rho_liq_mol_m3	ok	3.7499636123e+04	thermo.VolumeLiquid method=HEOS_FIT
oracle-corr	ammonia@0.0C	dhvap_kj_mol	ok	2.1488653669e+01	thermo.EnthalpyVaporization method=HEOS_FIT
oracle-corr	ammonia@25.0C	psat_kpa	ok	1.0026950096e+03	thermo.VaporPressure method=HEOS_FIT
oracle-corr	ammonia@25.0C	rho_liq_mol_m3	ok	3.5404678058e+04	thermo.VolumeLiquid method=HEOS_FIT
oracle-corr	ammonia@25.0C	dhvap_kj_mol	ok	1.9854454215e+01	thermo.EnthalpyVaporization method=HEOS_FIT
oracle-corr	ammonia	tboil_c	ok	-3.3315681380e+01	chemicals.Tb (experimental normal boiling point)
oracle-corr	ammonia	tcrit_k	ok	4.0556000000e+02	chemicals.Tc (experimental)
oracle-corr	ammonia	pcrit_kpa	ok	1.1363400000e+04	chemicals.Pc (experimental)
