engine	case	quantity	status	value	note
feos-pcsaft	ethanol-water@x1=0.7	tbub_c	ok	8.0213160296e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	ethanol-water@x1=0.7	y1	ok	7.7419507219e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	ethanol-water@x1=0.9	tbub_c	ok	7.8893550464e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	ethanol-water@x1=0.9	y1	ok	9.1948215773e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	ethanol-water@flash	vapour_fraction	unavailable		No phase split according to stability analysis.
adapter	ethanol-water@x1=0.1	tbub_c	ok	8.9223400973e1	feos PC-SAFT (BRD-030 spike adapter)
adapter	ethanol-water@x1=0.3	tbub_c	ok	8.4492038026e1	feos PC-SAFT (BRD-030 spike adapter)
adapter	ethanol-water@x1=0.5	tbub_c	ok	8.2030752797e1	feos PC-SAFT (BRD-030 spike adapter)
adapter	ethanol-water@x1=0.7	tbub_c	ok	8.0213160296e1	feos PC-SAFT (BRD-030 spike adapter)
adapter	ethanol-water@x1=0.9	tbub_c	ok	7.8893550464e1	feos PC-SAFT (BRD-030 spike adapter)
kerotakis	methanol-water@x1=0.1	tbub_c	ok	8.7732663508e1	Antoine+UNIFAC
kerotakis	methanol-water@x1=0.1	y1	ok	4.2291486163e-1	Antoine+UNIFAC
kerotakis	methanol-water@x1=0.3	tbub_c	ok	7.8220878864e1	Antoine+UNIFAC
kerotakis	methanol-water@x1=0.3	y1	ok	6.6932066658e-1	Antoine+UNIFAC
kerotakis	methanol-water@x1=0.5	tbub_c	ok	7.3213689318e1	Antoine+UNIFAC
kerotakis	methanol-water@x1=0.5	y1	ok	7.8659688557e-1	Antoine+UNIFAC
kerotakis	methanol-water@x1=0.7	tbub_c	ok	6.9405153839e1	Antoine+UNIFAC
kerotakis	methanol-water@x1=0.7	y1	ok	8.7709065998e-1	Antoine+UNIFAC
kerotakis	methanol-water@x1=0.9	tbub_c	ok	6.6086716013e1	Antoine+UNIFAC
kerotakis	methanol-water@x1=0.9	y1	ok	9.5972586953e-1	Antoine+UNIFAC
kerotakis	methanol-water@flash	vapour_fraction	ok	2.5261930384e-1	Antoine+UNIFAC
feos-pcsaft	methanol-water@x1=0.1	tbub_c	ok	8.9260704365e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	methanol-water@x1=0.1	y1	ok	3.8637969929e-1	esper2023+rehner2023; needed 1 restart(s)
