engine	case	quantity	status	value	note
kerotakis	methanol-ethanol@x1=0.9	tbub_c	ok	6.5303888933e1	Antoine+UNIFAC
kerotakis	methanol-ethanol@x1=0.9	y1	ok	9.3075418185e-1	Antoine+UNIFAC
kerotakis	methanol-ethanol@flash	vapour_fraction	ok	1.0000000000e0	Antoine+UNIFAC
feos-pcsaft	methanol-ethanol@x1=0.1	tbub_c	ok	7.6677576090e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	methanol-ethanol@x1=0.1	y1	ok	1.5663212468e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	methanol-ethanol@x1=0.3	tbub_c	ok	7.3509066197e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	methanol-ethanol@x1=0.3	y1	ok	4.1832426885e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	methanol-ethanol@x1=0.5	tbub_c	ok	7.0665690095e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	methanol-ethanol@x1=0.5	y1	ok	6.2674895934e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	methanol-ethanol@x1=0.7	tbub_c	ok	6.8100223865e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	methanol-ethanol@x1=0.7	y1	ok	7.9615705483e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	methanol-ethanol@x1=0.9	tbub_c	ok	6.5767275548e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	methanol-ethanol@x1=0.9	y1	ok	9.3729784657e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	methanol-ethanol@flash	vapour_fraction	unavailable		No phase split according to stability analysis.
adapter	methanol-ethanol@x1=0.1	tbub_c	ok	7.6677576090e1	feos PC-SAFT (BRD-030 spike adapter)
adapter	methanol-ethanol@x1=0.3	tbub_c	ok	7.3509066197e1	feos PC-SAFT (BRD-030 spike adapter)
adapter	methanol-ethanol@x1=0.5	tbub_c	ok	7.0665690095e1	feos PC-SAFT (BRD-030 spike adapter)
